Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97319-15583,SG,Seth,Seth Curry,Curry,9.778947529039884,19,4700,DAL@POR,DAL,POR,GTD,Ankle,,,,SG
97319-84704,SG/SF,Kevin,Kevin Huerter,Huerter,23.204545454545453,22,4700,UTA@SAC,SAC,UTA,,,,,,SG/SF
97319-171781,SG,Ochai,Ochai Agbaji,Agbaji,14.144000244140624,25,4700,UTA@SAC,UTA,SAC,,,,,,SG
97319-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,15.86923100398137,13,4700,IND@MIN,MIN,IND,,,,,,SF/PF
97319-188423,SF,Julian,Julian Strawther,Strawther,11.295651643172555,23,4600,OKC@DEN,DEN,OKC,,,,,,SF
97319-157802,SG,Moses,Moses Moody,Moody,16.875,24,4600,BKN@GS,GS,BKN,,,,,,SG
97319-23802,PG/SG,Kris,Kris Dunn,Dunn,11.905881993910846,17,4600,UTA@SAC,UTA,SAC,,,,,,PG/SG
97319-20277,SF/SG,Torrey,Torrey Craig,Craig,15.753846388596754,26,4600,CHI@MIA,CHI,MIA,,,,,,SG/SF
97319-145329,C,Paul,Paul Reed,Reed,13.379166920979818,24,4600,PHI@CHA,PHI,CHA,,,,,,C
97319-171761,SG,Peyton,Peyton Watson,Watson,13.33750025431315,24,4500,OKC@DEN,DEN,OKC,,,,,,SG
97319-110356,SG/SF,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,17.126086691151496,23,4500,IND@MIN,MIN,IND,,,,,,SG/SF
97319-15946,SF/PF,Harrison,Harrison Barnes,Barnes,19.05217444378397,23,4400,UTA@SAC,SAC,UTA,,,,,,SF/PF
97319-58461,PF,Trey,Trey Lyles,Lyles,17.219999694824217,10,4400,UTA@SAC,SAC,UTA,,,,,,PF
97319-110315,SG/SF,Terance,Terance Mann,Mann,16.716666327582466,18,4400,NY@LAC,LAC,NY,,,,,,SG/SF
97319-9966,PF,James,James Johnson,Johnson,7.805555555555555,18,4400,IND@MIN,IND,MIN,,,,,,PF
97319-110883,PF/SF,Dean,Dean Wade,Wade,13.522221883138021,18,4400,ATL@CLE,CLE,ATL,,,,,,SF/PF
97319-9561,C,DeAndre,DeAndre Jordan,Jordan,14.55,10,4400,OKC@DEN,DEN,OKC,,,,,,C
97319-188415,PG/SG,Cason,Cason Wallace,Wallace,14.973912778108016,23,4400,OKC@DEN,OKC,DEN,,,,,,PG/SG
97319-20491,PF/SF,Robert,Robert Covington,Covington,16.286956787109375,23,4300,PHI@CHA,PHI,CHA,,,,,,SF/PF
97319-81529,PF/C,Daniel,Daniel Theis,Theis,16.150000435965403,14,4300,NY@LAC,LAC,NY,,,,,,PF/C
97319-157827,PF,Isaiah,Isaiah Jackson,Jackson,19.15999959309896,15,4300,IND@MIN,IND,MIN,,,,,,PF
97319-102025,PF,Haywood,Haywood Highsmith,Highsmith,16.646666463216146,15,4300,CHI@MIA,MIA,CHI,,,,,,PF
97319-158856,PF,Trendon,Trendon Watford,Watford,15.658824247472426,17,4300,BKN@GS,BKN,GS,,,,,,PF
97319-110320,SF,Matisse,Matisse Thybulle,Thybulle,16.51304294752038,23,4300,DAL@POR,POR,DAL,,,,,,SF
97319-145330,PG,Isaiah,Isaiah Joe,Joe,17.030435313349184,23,4300,OKC@DEN,OKC,DEN,,,,,,PG
97319-171747,SG/PG,Andrew,Andrew Nembhard,Nembhard,16.752940458409928,17,4200,IND@MIN,IND,MIN,O,Knee,,,,PG/SG
97319-171744,SG,Christian,Christian Braun,Braun,17.59230745755709,26,4200,OKC@DEN,DEN,OKC,,,,,,SG
97319-145333,SF/PF,Aaron,Aaron Nesmith,Nesmith,19.88095238095238,21,4200,IND@MIN,IND,MIN,,,,,,SF/PF
97319-145351,C,Omer,Omer Yurtseven,Yurtseven,12.549999660915798,18,4200,UTA@SAC,UTA,SAC,,,,,,C
97319-188411,PF,Taylor,Taylor Hendricks,Hendricks,13.585714067731585,7,4200,UTA@SAC,UTA,SAC,,,,,,PF
97319-188429,SF,Kris,Kris Murray,Murray,8.315384498009315,13,4100,DAL@POR,POR,DAL,,,,,,SF
97319-9809,SF/PF,Nicolas,Nicolas Batum,Batum,17.205556233723957,18,4100,PHI@CHA,PHI,CHA,,,,,,SF/PF
97319-84668,SF,Troy,Troy Brown,Brown,11.43684226588199,19,4100,IND@MIN,MIN,IND,,,,,,SF
97319-171791,SG,Jaden,Jaden Hardy,Hardy,10.905000305175781,20,4100,DAL@POR,DAL,POR,,,,,,SG
97319-80829,PF,Sasha,Sasha Vezenkov,Vezenkov,11.944999694824219,20,4100,UTA@SAC,SAC,UTA,,,,,,PF
97319-157834,PG,Bones,Bones Hyland,Hyland,12.576923076923077,13,4000,NY@LAC,LAC,NY,,,,,,PG
